,account_id,product_id,MAG,AG,date_id,promo_flag,promo_discount_perc,base_demand,ordered_units,0
0,1,10,E01,638,1501,0,0.0,0.0,,-0.30108273
1,1,10,E01,638,1508,0,0.0,0.0,,-0.30108273
2,1,10,E01,638,1515,0,0.0,0.0,,-0.30108273
3,1,13,E01,638,1501,0,0.088674109,4.0,,-0.06827897
4,1,13,E01,638,1508,0,0.088674109,0.0,,-0.06827897
5,1,13,E01,638,1515,0,0.088674109,0.0,,-0.06827897
6,1,13,E01,638,1522,0,0.088674109,1.0,,-0.06827897
7,1,26,E01,638,1501,0,0.0,0.0,,-1.2267833
8,1,26,E01,638,1508,0,0.0,0.0,,-1.2267833
9,1,26,E01,638,1515,0,0.0,0.0,,-1.2267833
10,1,26,E01,638,1522,0,0.0,0.0,,-1.2267833
11,1,43,E01,620,1501,0,0.0,0.0,,-0.30108273
12,1,43,E01,620,1508,0,0.0,0.0,,-0.30108273
13,1,43,E01,620,1515,0,0.0,0.0,,-0.30108273
14,1,143,E01,8189,1501,0,0.0,0.0,,-0.30108273
15,1,143,E01,8189,1508,0,0.0,0.0,,-0.30108273
16,1,143,E01,8189,1515,0,0.0,0.0,,-0.30108273
17,1,143,E01,8189,1522,0,0.0,0.0,,-0.30108273
18,1,168,E01,7160,1501,0,9.147728626000001,1312.0,,1377.1871
19,1,168,E01,7160,1508,0,9.147727273,1150.0,,1169.8364
20,1,168,E01,7160,1515,0,9.147727273,1036.194151,,1104.25
21,1,168,E01,7160,1522,1,31.64783398,943.8470754000001,,2420.011
22,1,175,E01,3580,1501,0,8.252371517,0.0,,-3.9398036
23,1,175,E01,3580,1508,0,8.252371517,0.0,,-3.9398036
24,1,175,E01,3580,1515,0,8.252371517,0.0,,-3.9398036
25,1,211,E15,3149,1501,0,0.0,10.0,,7.678299
26,1,211,E15,3149,1508,0,0.0,1.0,,-0.30108273
27,1,211,E15,3149,1515,0,0.0,49.0,,37.394264
28,1,211,E15,3149,1522,0,0.0,0.0,,-0.30108273
29,1,229,E15,3149,1501,0,7.236145142000001,71.0,,94.33503
30,1,229,E15,3149,1508,1,26.69363547,71.0,,367.28992
31,1,229,E15,3149,1515,1,31.73562553,71.0,,268.79004
32,1,229,E15,3149,1522,1,31.73562777,71.0,,268.79004
33,1,234,E15,3149,1501,0,0.0,76.21622902,,227.67339
34,1,234,E15,3149,1508,0,0.0,266.159944,,688.1991
35,1,234,E15,3149,1515,0,0.0,511.773687,,790.76935
36,1,234,E15,3149,1522,0,0.0,755.0,,748.731
37,1,239,E15,3149,1501,0,0.0,3.0,,4.0286984
38,1,239,E15,3149,1508,0,0.0,0.0,,26.46518
39,1,239,E15,3149,1515,0,0.0,0.0,,26.46518
40,1,239,E15,3149,1522,0,0.0,0.0,,26.46518
41,1,276,E15,3155,1501,0,0.0,0.0,,-0.30108273
42,1,276,E15,3155,1508,0,0.0,0.0,,-0.30108273
43,1,276,E15,3155,1515,0,0.0,0.0,,-0.30108273
44,1,277,E15,3155,1501,0,0.0,0.0,,-0.30108273
45,1,277,E15,3155,1508,0,0.0,0.0,,-0.30108273
46,1,277,E15,3155,1515,0,0.0,0.0,,-0.30108273
47,1,277,E15,3155,1522,0,0.0,0.0,,-0.30108273
48,1,284,E15,3155,1501,0,0.0,5.0,,6.53257
49,1,284,E15,3155,1508,0,0.0,5.0,,6.53257
50,1,284,E15,3155,1515,0,0.0,5.0,,6.53257
51,1,284,E15,3155,1522,0,0.0,5.0,,6.53257
52,1,287,E15,3155,1501,0,6.979255796,82.14814815,,89.10796
53,1,287,E15,3155,1508,0,9.761142859,102.85185190000001,,119.933586
54,1,287,E15,3155,1515,0,9.359685771,114.0,,119.933586
55,1,287,E15,3155,1522,0,0.15326641900000001,39.0,,37.394264
56,1,294,E15,3155,1501,0,0.0,0.0,,-0.30108273
57,1,294,E15,3155,1508,0,0.0,0.0,,-0.30108273
58,1,294,E15,3155,1515,0,0.0,0.0,,-0.30108273
59,1,1645,E15,3160,1501,0,0.0,99.0,,110.5412
60,1,1645,E15,3160,1508,0,0.0,90.0,,110.5412
61,1,1645,E15,3160,1515,0,0.0,90.0,,110.5412
62,1,1645,E15,3160,1522,0,0.0,90.0,,110.5412
63,1,1947,W91,3079,1501,0,0.0,0.0,,-3.023485
64,1,1947,W91,3079,1508,0,0.0,0.0,,-3.023485
65,1,1947,W91,3079,1515,0,0.0,0.0,,-3.023485
66,1,1960,W91,3010,1501,0,0.0,0.0,,-3.023485
67,1,1960,W91,3010,1508,0,0.0,0.0,,-3.023485
68,1,1960,W91,3010,1515,0,0.0,0.0,,-3.023485
69,1,1967,W91,3010,1501,0,0.0,55.0,,169.30956
70,1,1967,W91,3010,1508,0,0.0,39.0,,143.48532
71,1,1967,W91,3010,1515,0,0.0,1154.0,,1055.1464
72,1,1967,W91,3010,1522,0,0.0,2301.0,,2386.1345
73,1,3233,W91,3079,1501,0,0.0,213.0,,250.57468
74,1,3233,W91,3079,1508,0,0.0,153.0,,135.85986
75,1,3233,W91,3079,1515,0,0.0,255.0,,258.18057
76,1,3233,W91,3079,1522,0,0.0,477.0,,432.90295
77,1,3234,W91,3079,1501,0,0.0,610.0,,589.1803
78,1,3234,W91,3079,1508,0,0.0,524.0,,495.98282
79,1,3241,E15,3157,1501,0,0.0,9.635892554,,104.545944
80,1,3241,E15,3157,1508,0,0.0,7.0,,104.545944
81,1,3241,E15,3157,1515,0,0.0,78.0,,27.19714
82,1,3248,E15,3157,1501,0,0.0,2592.0,,2322.3755
83,1,3248,E15,3157,1508,0,0.0,3226.0,,3032.3555
84,1,3248,E15,3157,1515,0,0.0,3483.0,,3503.0977
85,1,3248,E15,3157,1522,0,0.0,3203.4837260000004,,3032.3555
86,1,3250,E15,3157,1501,0,0.0,2.565217391,,20.778147
87,1,3250,E15,3157,1508,0,0.0,0.0,,20.778147
88,1,3250,E15,3157,1515,0,0.0,59.0,,101.801216
89,1,3250,E15,3157,1522,0,0.0,68.0,,101.801216
90,1,3260,E15,3371,1501,0,0.0,428.0,,505.14883
91,1,3260,E15,3371,1508,0,0.0,429.0,,505.14883
92,1,3260,E15,3371,1515,0,0.0,553.0,,645.45404
93,1,3260,E15,3371,1522,0,0.0,678.9680000000001,,756.70465
94,1,3264,E15,3371,1501,0,0.0,1890.0,,1573.1804
95,1,3264,E15,3371,1508,0,0.0,1870.0,,1751.2017
96,1,3264,E15,3371,1515,0,0.0,1646.236911,,1542.912
97,1,3264,E15,3371,1522,0,0.0,1092.285122,,1129.228
98,1,3270,E15,3371,1501,0,0.0,0.0,,-0.12887013
99,1,3270,E15,3371,1508,0,0.0,0.0,,-0.12887013
100,1,3270,E15,3371,1515,0,0.0,0.0,,-0.12887013
101,1,3290,E15,3371,1501,0,0.0,0.0,,-0.30108273
102,1,3290,E15,3371,1508,0,0.0,0.0,,-0.30108273
103,1,3290,E15,3371,1515,0,0.0,0.0,,-0.30108273
104,1,3686,E01,8189,1501,0,0.0,0.0,,-0.30108273
105,1,3686,E01,8189,1508,0,0.0,0.0,,-0.30108273
106,1,3686,E01,8189,1515,0,0.0,0.0,,-0.30108273
107,1,3712,E15,3160,1501,0,9.733569479,0.0,,10.833656
108,1,3712,E15,3160,1508,0,9.733569479,0.0,,10.833656
109,1,3712,E15,3160,1515,0,9.733569479,0.0,,10.833656
110,1,3720,E15,3157,1501,0,0.0,0.0,,17.9832
111,1,3720,E15,3157,1508,0,0.0,0.0,,17.9832
112,1,3720,E15,3157,1515,0,0.0,0.0,,17.9832
