account_id,product_id,MAG,AG,date_id,promo_flag,promo_discount_perc,base_demand,ordered_units
1,10,E01,638,1501,0,0,0,
1,10,E01,638,1508,0,0,0,
1,10,E01,638,1515,0,0,0,
1,13,E01,638,1501,0,0.088674109,4,
1,13,E01,638,1508,0,0.088674109,0,
1,13,E01,638,1515,0,0.088674109,0,
1,13,E01,638,1522,0,0.088674109,1,
1,26,E01,638,1501,0,0,0,
1,26,E01,638,1508,0,0,0,
1,26,E01,638,1515,0,0,0,
1,26,E01,638,1522,0,0,0,
1,43,E01,620,1501,0,0,0,
1,43,E01,620,1508,0,0,0,
1,43,E01,620,1515,0,0,0,
1,143,E01,8189,1501,0,0,0,
1,143,E01,8189,1508,0,0,0,
1,143,E01,8189,1515,0,0,0,
1,143,E01,8189,1522,0,0,0,
1,168,E01,7160,1501,0,9.147728626,1312,
1,168,E01,7160,1508,0,9.147727273,1150,
1,168,E01,7160,1515,0,9.147727273,1036.194151,
1,168,E01,7160,1522,1,31.64783398,943.8470754,
1,175,E01,3580,1501,0,8.252371517,0,
1,175,E01,3580,1508,0,8.252371517,0,
1,175,E01,3580,1515,0,8.252371517,0,
1,211,E15,3149,1501,0,0,10,
1,211,E15,3149,1508,0,0,1,
1,211,E15,3149,1515,0,0,49,
1,211,E15,3149,1522,0,0,0,
1,229,E15,3149,1501,0,7.236145142,71,
1,229,E15,3149,1508,1,26.69363547,71,
1,229,E15,3149,1515,1,31.73562553,71,
1,229,E15,3149,1522,1,31.73562777,71,
1,234,E15,3149,1501,0,0,76.21622902,
1,234,E15,3149,1508,0,0,266.159944,
1,234,E15,3149,1515,0,0,511.773687,
1,234,E15,3149,1522,0,0,755,
1,239,E15,3149,1501,0,0,3,
1,239,E15,3149,1508,0,0,0,
1,239,E15,3149,1515,0,0,0,
1,239,E15,3149,1522,0,0,0,
1,276,E15,3155,1501,0,0,0,
1,276,E15,3155,1508,0,0,0,
1,276,E15,3155,1515,0,0,0,
1,277,E15,3155,1501,0,0,0,
1,277,E15,3155,1508,0,0,0,
1,277,E15,3155,1515,0,0,0,
1,277,E15,3155,1522,0,0,0,
1,284,E15,3155,1501,0,0,5,
1,284,E15,3155,1508,0,0,5,
1,284,E15,3155,1515,0,0,5,
1,284,E15,3155,1522,0,0,5,
1,287,E15,3155,1501,0,6.979255796,82.14814815,
1,287,E15,3155,1508,0,9.761142859,102.8518519,
1,287,E15,3155,1515,0,9.359685771,114,
1,287,E15,3155,1522,0,0.153266419,39,
1,294,E15,3155,1501,0,0,0,
1,294,E15,3155,1508,0,0,0,
1,294,E15,3155,1515,0,0,0,
1,1645,E15,3160,1501,0,0,99,
1,1645,E15,3160,1508,0,0,90,
1,1645,E15,3160,1515,0,0,90,
1,1645,E15,3160,1522,0,0,90,
1,1947,W91,3079,1501,0,0,0,
1,1947,W91,3079,1508,0,0,0,
1,1947,W91,3079,1515,0,0,0,
1,1960,W91,3010,1501,0,0,0,
1,1960,W91,3010,1508,0,0,0,
1,1960,W91,3010,1515,0,0,0,
1,1967,W91,3010,1501,0,0,55,
1,1967,W91,3010,1508,0,0,39,
1,1967,W91,3010,1515,0,0,1154,
1,1967,W91,3010,1522,0,0,2301,
1,3233,W91,3079,1501,0,0,213,
1,3233,W91,3079,1508,0,0,153,
1,3233,W91,3079,1515,0,0,255,
1,3233,W91,3079,1522,0,0,477,
1,3234,W91,3079,1501,0,0,610,
1,3234,W91,3079,1508,0,0,524,
1,3241,E15,3157,1501,0,0,9.635892554,
1,3241,E15,3157,1508,0,0,7,
1,3241,E15,3157,1515,0,0,78,
1,3248,E15,3157,1501,0,0,2592,
1,3248,E15,3157,1508,0,0,3226,
1,3248,E15,3157,1515,0,0,3483,
1,3248,E15,3157,1522,0,0,3203.483726,
1,3250,E15,3157,1501,0,0,2.565217391,
1,3250,E15,3157,1508,0,0,0,
1,3250,E15,3157,1515,0,0,59,
1,3250,E15,3157,1522,0,0,68,
1,3260,E15,3371,1501,0,0,428,
1,3260,E15,3371,1508,0,0,429,
1,3260,E15,3371,1515,0,0,553,
1,3260,E15,3371,1522,0,0,678.968,
1,3264,E15,3371,1501,0,0,1890,
1,3264,E15,3371,1508,0,0,1870,
1,3264,E15,3371,1515,0,0,1646.236911,
1,3264,E15,3371,1522,0,0,1092.285122,
1,3270,E15,3371,1501,0,0,0,
1,3270,E15,3371,1508,0,0,0,
1,3270,E15,3371,1515,0,0,0,
1,3290,E15,3371,1501,0,0,0,
1,3290,E15,3371,1508,0,0,0,
1,3290,E15,3371,1515,0,0,0,
1,3686,E01,8189,1501,0,0,0,
1,3686,E01,8189,1508,0,0,0,
1,3686,E01,8189,1515,0,0,0,
1,3712,E15,3160,1501,0,9.733569479,0,
1,3712,E15,3160,1508,0,9.733569479,0,
1,3712,E15,3160,1515,0,9.733569479,0,
1,3720,E15,3157,1501,0,0,0,
1,3720,E15,3157,1508,0,0,0,
1,3720,E15,3157,1515,0,0,0,
1,3720,E15,3157,1522,0,0,0,
1,3734,E15,3157,1501,0,0,0,
1,3734,E15,3157,1508,0,0,0,
1,3734,E15,3157,1515,0,0,0,
1,3734,E15,3157,1522,0,0,0,
1,3739,E15,3157,1501,0,0,0,
1,3739,E15,3157,1508,0,0,0,
1,3739,E15,3157,1515,0,0,0,
1,3741,E15,3157,1501,0,0,0,
1,3741,E15,3157,1508,0,0,0,
1,3741,E15,3157,1515,0,0,0,
1,3765,M41,8194,1501,0,0,1775,
1,3765,M41,8194,1508,0,0,2872,
1,3765,M41,8194,1515,0,0,3457,
1,3765,M41,8194,1522,0,0,230,
1,3788,M41,7366,1501,0,1.93E-06,2.565939772,
1,3788,M41,7366,1508,0,1.93E-06,0,
1,3788,M41,7366,1515,0,1.93E-06,0,
1,3789,M41,7366,1501,0,0,12,
1,3789,M41,7366,1508,0,0,7,
1,3789,M41,7366,1515,0,0,153,
1,3789,M41,7366,1522,0,0,3,
1,3813,M41,8193,1501,1,51.12004893,20.76709241,
1,3813,M41,8193,1508,0,0,19,
1,3813,M41,8193,1515,0,0,23,
1,3813,M41,8193,1522,0,0,22.01976285,
1,3842,E15,3155,1501,0,0,0,
1,3842,E15,3155,1508,0,0,0,
1,3842,E15,3155,1515,0,0,0,
1,3879,W91,3010,1501,0,0,205.9613021,
1,3879,W91,3010,1508,0,0,153,
1,3879,W91,3010,1515,0,0,152,
1,3879,W91,3010,1522,0,0,153.693148,
1,3893,W91,3010,1501,0,0,14,
1,3893,W91,3010,1508,0,0,0,
1,3893,W91,3010,1515,0,0,280,
1,3893,W91,3010,1522,0,0,0,
1,3903,W91,3010,1501,0,0,0,
1,3903,W91,3010,1508,0,0,0,
1,3903,W91,3010,1515,0,0,0,
1,3922,E01,8189,1501,0,0,117,
